task_id,split,format_legal,tool_success,parameter_success,success,false_success,call_count,terminal_reward,shaped_reward
task-00769,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00779,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00789,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00799,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00809,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00819,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00829,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00839,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00849,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00859,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00869,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00879,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00889,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00899,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00909,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00919,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00929,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00939,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00949,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00959,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00969,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00979,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00989,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00999,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01009,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01019,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01029,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01039,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01049,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01059,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01069,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01079,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01089,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01099,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01109,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01119,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01129,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01139,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01149,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01159,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01169,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-01179,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01189,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-01199,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
